OBSID,target_comb_idx,target_text,ctx_-4_speaker,ctx_-4_text,ctx_-3_speaker,ctx_-3_text,ctx_-2_speaker,ctx_-2_text,ctx_-1_speaker,ctx_-1_text,ctx_0_speaker,ctx_0_text,ctx_1_speaker,ctx_1_text,ctx_2_speaker,ctx_2_text,R1: References prior student content,R2: Builds on student content,R3: Invites further student thinking,C1. No student content available (N/A)
2830,2830_613,So is [inaudible] their wingspan is one two eighths inches. Remember it is measurement.  It has to be labeled.,teacher,– minus five eighths would give us what?,student,Two eighths.,teacher,Two eighths.  See the denominators are the same.  We don’t have to bother.  The eighths are represented [inaudible] take away five eighths.  We have two eighths left.  And then we’re going to combine our one plus two eighths would give us what?  One and –,multiple students,Two eighths.,teacher,So is [inaudible] their wingspan is one two eighths inches. Remember it is measurement.  It has to be labeled.,student,[Inaudible].,teacher,Do not write a [naked] number.  So that is Number 1.  We can also show this on the number line.  We can use number line to subtract like we normally do or we can count up.  We can count up from here.  We can count up from this number and move up like that.  So we can also draw a number line.,1,0,0,0
2108,2108_325,"One thousand ninety-six?  So, you’re ninety-six points over. Is that the best you can do?  Or, can you move your cards around and to better?",teacher,"The ninety-four.  So, your score is ninety-four.  Okay?  Now, cards all back together, and whoever did not get a chance to deal is going to deal out six new cards, okay?  So, put them all back.  Good girl.  You should get a thousand.",student,I need help.,teacher,"Okay, show me what you did.  What’s your combination?  That’s not bad.  What did you get for the sum?  Put it on your paper and add it up.",student,One thousand ninety-six.,teacher,"One thousand ninety-six?  So, you’re ninety-six points over. Is that the best you can do?  Or, can you move your cards around and to better?",student,Move my cards around?,teacher,You know what?  What did you say your wild card was going to be?,1,1,1,0
4603,4603_253,"We're gonna talk a little bit more about that question because I think we need a little bit more time.  What does this show you here when the line goes straight or horizontally across?  What do you think that is?  Student A, what do you think?  Between D and E, there is 20 miles and 20 miles, so what's that telling you?  That's telling you that she did not –",teacher,– that one – right.  That 22 miles would be –,multiple students,140.,teacher,"But that's the total time, and I wanna know if I just did 22 miles.  So 80 to 60, we're gonna talk about that a little bit more.  That's an interesting question.  I think we need to make our chart just a little bit different in order to solve that.  So we'll work on that when we're done.  On the graph, label each point you drew with a letter from, oh, they B to G, which we did.  What does the line segment between D and E show about how far Student N rode during that part of her day between D and E?  What does the – and if we did a line segment – I'll try to draw that here, so we can –",student,[Inaudible].,teacher,"We're gonna talk a little bit more about that question because I think we need a little bit more time.  What does this show you here when the line goes straight or horizontally across?  What do you think that is?  Student A, what do you think?  Between D and E, there is 20 miles and 20 miles, so what's that telling you?  That's telling you that she did not –",student,[Inaudible] travel.,teacher,"She did not travel at all.  So that's when she had her break. So you know somewhere along the line she actually stopped, and she had to take a break.  Any questions about this?  We will work on question 6.  I wanna make a different kind of a chart for us, though, so we can see it a little bit better when we do that.  But you have any questions about what we did with this?  Would you be able to do one of these by yourself if you have to?  Would you be able to figure one out by yourself?",0,0,1,0
2123,2123_216,"Yes.  All right, so where are you working?",teacher,I would make the horseshoe and see how does this help make a horseshoe for that.,student,"I know, but [inaudible].",teacher,"Yep, I think so.  Here we go.",student,So we’re making examples and horseshoes?,teacher,"Yes.  All right, so where are you working?",student,[Inaudible].,teacher,"All right.  Well, let’s see.  Student J, who are you working with?  Okay, Student M.  Come on over here.",0,0,0,0
4636,4636_283,"And how many units are left, honey?",teacher,So is it a sixth or is it a fifth?,student,A fifth.,teacher,Right.,student,[Inaudible].,teacher,"And how many units are left, honey?",student,[Inaudible].,teacher,Huh?,0,0,1,0
908,908_181,Can three go into 23?,teacher,Three because three times three is?,teacher,"Now some of us can look at it as 11 minus three, but many of you raised your hand.  You’d rather do it the correct way, or I wouldn’t say correct, you would like to break it down your way.",teacher,"Can’t take nine from one, so we come over here and borrow from the one, make it a zero and make the one and 11.  How many of you did that?  Your way.  There are many ways.  Eleven minus nine is what?",teacher,"We just did the subtraction stage, now let’s check.  Did we have it lined up?  Now I bring down six.  Some of us still need to use the arrow.  How many of us still use the arrow to help us out?  How many of us get confused?  Okay, that’s a good strategy to use to help you keep it in line.  Bring down my three.  Can three go into 23?",teacher,Can three go into 23?,teacher,"I hear no and I hear yes, so that tells me we need to write out our three’s.  Three times one is what?",teacher,Three times two is what?,0,0,1,1
2636,2636_148,"Okay, so I’m gonna walk away and I want you to think about what you’re gonna have to do to that number to get to 300 and do it, okay?",teacher,"So I’m wondering what your next step will be, and I want you to think about your next jump before you take it, okay? What’s your – what do you think your next – your target number is gonna be, the number you want to land on?",student,I want to land on [inaudible].,teacher,"You want to end there, but where do you want your next number to land?  Where do you want to land next?",student,How about 300?,teacher,"Okay, so I’m gonna walk away and I want you to think about what you’re gonna have to do to that number to get to 300 and do it, okay?",student,All right.,teacher,How did you come up with that number?,1,0,1,0
912,912_327,Okay.,teacher,They do.,student,Six-sixths equals one whole.,teacher,"They do, but let me show you what I really would like you to do, please.  I’d like you to pick one larger fraction bar and find an equivalent fraction to one-third, please.  Now –",student,One-third doesn’t equal –,teacher,Okay.,student,One-third is equal to four-twelfths.,teacher,Okay.  How about two-thirds?  Can you make it equal to a certain number of eighths?,0,0,0,0
2629,2629_65,"Six faces, right.  Now the thing is sometimes people want to know, just like you said.  When you are packing or sending something away to a loved one, you want it secure.  So you want to know: how big is this box and how is it gonna work for me to actually put the item that I want to send off to Japan or down south to my grandma or around the corner to my best friend?  Now here a good mathematician knows in order to find the surface area, even the volume, all you do is multiply.  You have a formula and you follow the formula.  Does everyone understand that?",teacher,"A box.  And it looks like you can see what?  Right inside of it.  And a cube has many different faces, doesn’t it?",multiple students,Yes.,teacher,"It’s got a face on the top.  It has a face back there, a face right here, a face there, a face there, a face there.  How many faces does it have?",multiple students,Six.,teacher,"Six faces, right.  Now the thing is sometimes people want to know, just like you said.  When you are packing or sending something away to a loved one, you want it secure.  So you want to know: how big is this box and how is it gonna work for me to actually put the item that I want to send off to Japan or down south to my grandma or around the corner to my best friend?  Now here a good mathematician knows in order to find the surface area, even the volume, all you do is multiply.  You have a formula and you follow the formula.  Does everyone understand that?",multiple students,Yes.,teacher,Now say this is ten inches.  And give me another one.,1,1,0,0
4266,4266_211,Make – I know you don’t – and make it a whole.  So there’s my one whole.  Look at that.,teacher,"Watch.  Now watch.  This is really cool.  Now I say, “Oh, no. I have an improper fraction.”  How do I fix that?",student,Oh.,teacher,"What you’re going to do is take your … take your pieces, take all your greens, and make seven-sixths.  So what you would do is you would take these three -",student,I don’t have p,teacher,Make – I know you don’t – and make it a whole.  So there’s my one whole.  Look at that.,student,Oh.,teacher,"One whole, and how many left over?",0,0,0,0
2360,2360_260,"One.  One times seven, is?",teacher,Does seven go into ten?,multiple students,Yes.,teacher,How many times?,multiple students,One.,teacher,"One.  One times seven, is?",student,Seven.,teacher,Ten minus seven?,1,1,1,0
2442,2442_8,"You could just write the letter.  Student A, which steps did you do?",teacher,"First of all, what's the answer?",student,3.,teacher,"Everybody gets 3 pencils, so write 3 on your table.  Just write a 3.  Then I want you to think about what you did to solve the problem.  Pick A, B, C, or D.  Did you have to divide? Did you have to add and then divide?  Did you divide and subtract, or did you multiply, add, and divide?  Think about what steps you did in your mind to get that answer. You can just write the letter.  Want to write it out? Okay.",student,Could we just write the letter?,teacher,"You could just write the letter.  Student A, which steps did you do?",student,Adding.,teacher,"You had to add and divide.  You would write the number you solved it for, and then the letter, right?  So let's try another problem.  Suzanne had 70 pencils.  You can work this out with the marker on your table.  She gave half of the pencils to her sister.  Somebody else read it.  Student A?",0,0,1,0
82,82_212,"Okay.  We’re still taping.  Let me have this, please.",teacher,Nice.  Nice labeling there.  I like it.,student,We did this then that then that.,teacher,Awesome.  All right.  Where you guys at?,student,[Inaudible],teacher,"Okay.  We’re still taping.  Let me have this, please.",student,[Inaudible],teacher,"You know what?  This is real tight.  It is not necessary.  It just have to have form, okay?",0,0,0,1
2624,2624_204,"What do you think a variable is?  The letters X and Y are variables.  So based on what you learned today, you can tell me what you think a variable is and I’ll accept that. Then tomorrow or this afternoon, you stay after school, don’t you?  Yep.  We’ll go over what a variable is.  Just let me see what you think.  Student L?",teacher,"If you’ve completed the – you need a pencil?  I wasn’t sure if you were thinking or if you just needed something to get started.  Let's get this.  If you’ve completed your tables, please put your notes inside your binder.  And if you’ve completed your tables, please at the bottom write define what a variable is.  What is a variable?  You may start with ""a variable is.""  It's a good way to start.  Yes, on your exit slip at the bottom underneath the tables. Student R, what happened yesterday.  Yeah, don’t worry.  At the bottom you need to write or define what a variable is. Then when you're done that part, you need to put your notes inside your binder.  That sheet, uh-huh.  This sheet that we went over today is also part of your notes.  It will help you complete function tables.  Your homework tonight, I'm going to pass it around.  No, you don’t have to.  You can just say Y equals 7X.  Remember a letter and a number next to it means you multiply.  X is already there.  So Y equals 7X, not x 7X, 7X.  Seven.  Seven first then X.",student,[Inaudible].,teacher,In the seat.  Student L?,student,[Inaudible].,teacher,"What do you think a variable is?  The letters X and Y are variables.  So based on what you learned today, you can tell me what you think a variable is and I’ll accept that. Then tomorrow or this afternoon, you stay after school, don’t you?  Yep.  We’ll go over what a variable is.  Just let me see what you think.  Student L?",student,Do we write these as an expression?,teacher,"Yes, as an expression.  What does an expression look like? We've done that on six different examples.  So what does the expression look like?  You should be using variables X and Y.  You should be using the variables X and Y.  If you're finished, write the definition of variable, put your notes, both of them, inside your binders.  At the bottom, Student R, if you told me what a variable is, great, put your notes inside.  You guys have about two more minutes to finish up those tables.",0,0,1,0
4149,4149_74,Yes.  Use some strategies.,teacher,It’s not 25.  It’s what?,student,[Inaudible].,teacher,You’re guessing.  I don’t want you guess.  I want you to use your -,student,[Inaudible].,teacher,Yes.  Use some strategies.,student,[Inaudible].  Is it [inaudible]?,teacher,Now listen.  It’s [inaudible] five times six.  What’s four times six?,0,0,1,1
4633,4633_391,Why?,teacher,"Okay, how would you do it?  Just draw it on this side.  How – whoa.  Tell me first, how would you represent six-twelfths, plus six-twelfths, equals two-thirds?  Because if you’re – if you’re adding six-twelfths, plus six-twelfths, is that equal to twelve-twelfths?",student,Yes.,teacher,Is twelve-twelfths equal to three-thirds?,student,Yes.,teacher,Why?,student,They’re both one whole.,teacher,"They’re both one whole, so how does this picture support this equation?  You may know.  I don’t know.  How does this picture support this equation?",0,0,1,0
1152,1152_84,"A number is in front of, or a number is attached to the X. What operation in math – let’s see who remembers.  What operation in math is that when you have a number attached to the variable?  What operation in math is that, Student K?",teacher,"Equation.  Very good.  And just to help those people who might not know, who might have forgot it, Student Y, where is the equation here?  Or what will dictate the side that you have to change from?",student,The equal sign?,teacher,"The equal sign.  I’ll just put a circle around it.  All right? So, everybody should be clear at this step.  We have, can you see?  We have three X plus four equals ten.  What do you notice different about this problem than the first two problems we did in our quick little exercise?  Yes?",student,A number is in front of the X.,teacher,"A number is in front of, or a number is attached to the X. What operation in math – let’s see who remembers.  What operation in math is that when you have a number attached to the variable?  What operation in math is that, Student K?",student,Multiplication.,teacher,"Multiplication.  All right.  Let’s remember that.  Don’t forget that ‘cause we’re gonna have to revisit this before we solve our problem. All right, so the first step we must change our operation.  So let’s do the opposite operation.  We have plus four.  Opposite operation would be minus four.  Okay? Now, read out Number 2.  Student T?  Read Number 2.",1,0,1,0
60,60_270,"Oh, okay.",teacher,"Eight into 44, okay.  So eight vans and 44 people, and how many, Student J?",student,Five.,teacher,Five.  Just five?,student,"No, you have to put it on top of the four.",teacher,"Oh, okay.",student,The other four.,teacher,"Okay, so you’re gonna be careful where you put things, okay? Now, eight goes into 44 five times.  All right, so I did my division.  Now I have to multiply, right?",0,0,0,0
639,639_92,What box are we talking about?,teacher,"The end, what do you mean the end?",student,12.,teacher,12 what?,student,Places.,teacher,What box are we talking about?,student,The last one.,teacher,"The last – right here?  So, 12 halves will equal 1 whole? 12 divided by 2 will equal 1?",0,0,0,0
1064,1064_371,So it’s a slam dunk right?,teacher,Okay.  Percent.  And this is gonna be what?,student,75.,teacher,1 and 75 – so it’s –,multiple students,[Inaudible] 75.,teacher,So it’s a slam dunk right?,multiple students,Yes.,teacher,So which one is the biggest? [0:28:01],0,0,1,0
788,788_269,Would that be one-eighth?,teacher,Okay.  Where?,student,Right here.,teacher,Why would you do it there?  How many is there?,student,"1, 2, 3, 4, 5.",teacher,Would that be one-eighth?,student,No.,teacher,What would that be?,0,0,1,0
